Time,Mag,Error
49171.607292,-5.712,0.192
49176.213565,-5.783,0.083
49178.600833,-5.909,0.07
49179.561319,-5.952,0.068
49180.210463,-5.863,0.054
49180.529213,-5.913,0.049
49181.510567,-5.967,0.077
49182.615035,-5.938,0.044
49183.518773,-6.082,0.092
49184.493194,-5.977,0.068
49186.515058,-5.897,0.064
49188.497153,-5.913,0.061
49189.505637,-5.884,0.046
49194.519630,-5.92,0.053
49195.469236,-5.886,0.059
49196.503623,-5.831,0.096
49199.535532,-5.839,0.053
49201.466933,-5.639,0.262
49203.487743,-5.903,0.075
49204.486632,-5.856,0.072
49208.475058,-5.933,0.101
49209.455313,-5.919,0.07
49210.472350,-5.865,0.1
49211.503843,-5.906,0.036
49212.617523,-5.897,0.185
49214.607292,-5.905,0.173
49215.507269,-5.875,0.05
49216.432627,-5.941,0.095
49217.441065,-5.847,0.028
49218.431632,-5.833,0.035
49219.448044,-5.89,0.083
49220.546840,-5.85,0.133
49221.428102,-5.85,0.088
49222.413113,-5.807,0.038
49223.415012,-5.799,0.074
49224.402072,-5.787,0.061
49225.621262,-5.812,0.061
49233.394583,-5.731,0.16
49252.346366,-5.817,0.044
49254.444167,-5.866,0.029
49255.362060,-5.936,0.051
49256.376343,-5.841,0.029
49257.386505,-5.795,0.041
49258.548600,-5.803,0.044
49260.351609,-5.852,0.068
49265.325961,-5.879,0.034
49267.427014,-5.891,0.041
49269.425544,-5.91,0.129
49270.388310,-5.854,0.086
49272.420799,-5.827,0.031
49273.303692,-5.852,0.048
49274.342917,-5.892,0.106
49276.580220,-5.855,0.023
49277.460382,-5.857,0.029
49279.590590,-5.788,0.097
49280.509144,-5.853,0.055
49282.357882,-5.853,0.031
49283.286181,-5.835,0.036
49285.499051,-5.99,0.077
49286.298750,-5.904,0.052
49287.375046,-5.854,0.083
49289.379988,-5.813,0.06
49291.270660,-5.848,0.065
49291.548669,-5.763,0.068
49302.375451,-5.861,0.032
49303.228206,-5.812,0.04
49307.304398,-5.834,0.03
49309.268137,-5.771,0.025
49311.317963,-5.791,0.053
49311.526782,-5.731,0.058
49312.329468,-5.773,0.033
49312.521863,-5.834,0.032
49313.293738,-5.812,0.055
49314.267454,-5.765,0.083
49315.282407,-5.774,0.044
49317.283565,-5.797,0.027
49317.524410,-5.792,0.054
49318.416030,-5.794,0.089
49371.527720,-5.764,0.052
49372.270567,-5.762,0.028
49374.414757,-5.868,0.071
49374.428877,-5.746,0.042
49375.279387,-5.754,0.041
49376.302407,-5.754,0.037
49378.255058,-5.762,0.084
49380.371285,-5.782,0.069
49381.342812,-5.729,0.062
49384.490718,-5.817,0.059
49386.279711,-5.761,0.041
49388.392384,-6.0,0.121
49388.401400,-5.722,0.06
49390.274340,-5.802,0.048
49392.538218,-5.885,0.074
49396.391088,-5.842,0.073
49398.247211,-5.769,0.022
49399.250625,-5.742,0.051
49399.557616,-5.769,0.067
49400.266400,-5.795,0.068
49404.446690,-5.819,0.03
49405.385625,-5.734,0.038
49409.370093,-5.804,0.065
49411.524190,-5.99,0.26
49412.117025,-5.815,0.044
49413.246123,-5.756,0.044
49414.261435,-5.829,0.039
49415.243715,-5.74,0.026
49416.236285,-5.777,0.031
49417.242500,-5.729,0.04
49423.248403,-5.869,0.071
49425.381308,-5.821,0.036
49426.240012,-5.755,0.03
49428.232998,-5.815,0.041
49429.342326,-5.797,0.026
49432.265903,-5.761,0.063
49433.454618,-5.637,0.283
49434.310880,-5.459,0.339
49434.340278,-5.786,0.044
49435.447905,-5.766,0.1
49436.293333,-5.733,0.063
49438.335625,-5.676,0.095
49444.406875,-5.694,0.119
49445.455266,-5.724,0.044
49446.353553,-5.819,0.034
49447.422801,-5.788,0.038
49448.305313,-5.835,0.09
49449.353218,-5.831,0.063
49449.357650,-5.732,0.056
49450.320822,-5.789,0.034
49451.327060,-5.774,0.041
49452.366655,-5.825,0.06
49455.313519,-5.741,0.067
49456.447384,-5.788,0.064
49457.304109,-5.757,0.036
49458.267847,-5.75,0.024
49460.294931,-5.739,0.046
49461.314340,-5.806,0.032
49462.288542,-5.789,0.048
49463.347315,-5.775,0.044
49464.292072,-5.85,0.1
49465.302396,-5.773,0.043
49466.295683,-5.729,0.037
49467.342558,-5.81,0.175
49469.398507,-5.904,0.105
49471.363947,-5.801,0.084
49472.351562,-5.762,0.056
49473.371424,-5.751,0.042
49477.289433,-5.711,0.035
49478.294363,-5.681,0.025
49479.236574,-5.776,0.028
49479.269005,-5.743,0.036
49481.339618,-5.74,0.036
49483.312951,-5.708,0.038
49484.212581,-5.722,0.027
49485.279016,-5.712,0.041
49486.275255,-5.597,0.233
49487.304340,-5.744,0.036
49488.290116,-5.75,0.055
49489.258171,-5.598,0.113
49491.651528,-5.662,0.076
49492.297836,-5.862,0.097
49493.312141,-4.523,1.334
49493.341007,-5.022,1.305
49493.646100,-5.626,0.281
49494.658160,-5.825,0.05
49496.259815,-5.899,0.112
49496.659387,-5.706,0.128
49498.282292,-5.536,0.22
49500.246956,-5.281,0.533
49505.299792,-5.743,0.05
49509.255822,-5.724,0.038
49511.271424,-5.767,0.078
49511.622083,-5.703,0.138
49512.246528,-5.829,0.061
49512.613437,-5.817,0.104
49513.241817,-5.7,0.064
49513.655637,-5.721,0.04
49514.238727,-5.719,0.052
49516.244572,-5.833,0.081
49517.576667,-5.733,0.103
49518.248657,-4.372,2.552
49518.610752,-5.708,0.119
49519.266840,-5.767,0.09
49520.595417,-5.658,0.146
49522.628345,-5.792,0.051
49525.632350,-5.769,0.08
49526.217338,-5.611,0.127
49530.248113,-5.649,0.08
49530.663796,-5.715,0.075
49531.584491,-5.833,0.052
49532.221215,-5.78,0.055
49532.657616,-5.726,0.031
49533.224792,-5.686,0.064
49534.531898,-5.417,0.207
49536.226181,-5.919,0.158
49537.233634,-5.88,0.234
49537.667593,-5.647,0.398
49538.629803,-5.754,0.072
49539.580729,-5.771,0.042
49539.633866,-5.772,0.077
49540.549433,-5.78,0.063
49540.615012,-5.736,0.063
49541.620671,-5.735,0.029
49542.504769,-5.725,0.051
49545.634167,-5.803,0.059
49546.508935,-5.787,0.075
49548.504954,-6.123,0.355
49549.195046,-5.78,0.112
49550.531713,-5.788,0.046
49550.655266,-5.759,0.044
49552.493912,-5.664,0.051
49553.188183,-6.248,0.397
49554.479225,-5.592,0.115
49555.515822,-5.713,0.163
49555.664051,-5.819,0.087
49556.524792,-5.609,0.114
49556.665451,-5.79,0.061
49557.179954,-5.698,0.067
49558.561597,-5.833,0.253
49558.660822,-6.065,0.051
49559.506910,-5.811,0.096
49560.543229,-5.639,0.3
49561.638333,-5.749,0.094
49562.586192,-5.783,0.037
49566.479444,-5.67,0.078
49566.668565,-5.734,0.054
49567.521123,-5.762,0.035
49568.559630,-5.812,0.052
49569.521609,-5.744,0.035
49571.485903,-5.761,0.051
49573.483380,-5.576,0.137
49573.502546,-5.774,0.047
49574.484468,-5.742,0.024
49577.463970,-5.938,0.186
49577.655289,-5.706,0.054
49578.476944,-5.816,0.056
49578.654479,-5.794,0.036
49579.484896,-5.788,0.033
49579.648576,-5.736,0.019
49580.443796,-5.803,0.034
49580.657477,-5.826,0.04
49581.600220,-5.842,0.041
49585.481412,-5.807,0.126
49586.476493,-5.825,0.163
49586.655058,-5.687,0.156
49587.475509,-5.831,0.099
49588.512257,-5.809,0.05
49589.447292,-5.854,0.049
49589.457350,-5.83,0.038
49590.449178,-5.701,0.041
49590.634641,-5.784,0.023
49591.471586,-5.748,0.042
49592.440532,-5.784,0.037
49595.481528,-5.825,0.048
49596.471262,-5.786,0.029
49597.539167,-5.786,0.033
49597.643310,-5.868,0.036
49598.502257,-5.778,0.042
49599.505706,-5.842,0.125
49601.580880,-5.723,0.063
49602.462454,-5.755,0.038
49604.480000,-5.758,0.026
49605.476238,-5.715,0.025
49606.473009,-5.771,0.031
49606.625787,-5.724,0.03
49607.348310,-5.919,0.178
49607.365301,-5.842,0.211
49607.631782,-5.841,0.065
49608.472639,-5.726,0.134
49608.629896,-5.852,0.051
49609.500116,-5.81,0.048
49609.632512,-5.82,0.066
49610.461910,-5.733,0.068
49610.631979,-5.816,0.054
49611.458715,-5.866,0.157
49611.635255,-5.23,0.383
49612.455938,-5.634,0.144
49613.631736,-5.74,0.111
49614.459398,-4.807,1.213
49616.483241,-5.853,0.072
49616.631204,-5.082,0.807
49617.438021,-5.609,0.168
49617.631053,-5.15,0.409
49618.436238,-5.674,0.19
49619.445660,-5.926,0.232
49620.469676,-5.72,0.031
49621.598600,-5.863,0.062
49622.467894,-5.627,0.25
49623.467211,-5.851,0.048
49625.449178,-5.733,0.041
49627.460729,-5.753,0.053
49628.508611,-5.797,0.038
49629.509468,-5.825,0.069
49630.431921,-5.775,0.034
49633.377755,-5.776,0.033
49634.366898,-5.781,0.034
49634.609618,-5.854,0.039
49635.438472,-5.799,0.046
49636.408519,-5.769,0.074
49637.489606,-5.857,0.07
49638.465058,-5.776,0.04
49639.418727,-5.741,0.027
49640.447002,-5.707,0.028
49642.356933,-5.838,0.055
49645.426667,-5.657,0.092
49647.563067,-5.802,0.043
49648.347951,-5.819,0.051
49649.345324,-5.795,0.037
49651.480370,-5.763,0.028
49653.485139,-5.65,0.072
49654.426736,-5.142,0.148
49660.451215,-5.762,0.043
49664.506019,-5.765,0.057
49665.361447,-5.779,0.033
49665.534213,-5.759,0.027
49666.304086,-5.796,0.036
49666.521655,-5.721,0.022
49667.429155,-5.735,0.042
49670.320613,-5.645,0.068
49670.524734,-5.73,0.059
49672.268194,-5.738,0.155
49673.377141,-5.778,0.054
49673.495093,-5.813,0.049
49674.504097,-5.761,0.073
49676.321863,-5.661,0.106
49681.306273,-5.767,0.032
49681.516690,-5.734,0.053
49682.336181,-5.763,0.033
49687.362188,-5.76,0.043
49688.326597,-5.788,0.041
49689.385301,-5.738,0.036
49690.313380,-5.741,0.02
49691.358252,-5.696,0.019
49693.331204,-5.709,0.028
49695.365613,-5.777,0.046
49696.355752,-5.77,0.03
49698.480833,-5.72,0.027
49700.323056,-5.811,0.092
49702.336053,-5.687,0.051
49703.427083,-5.751,0.061
49704.330880,-5.679,0.079
49706.364792,-5.756,0.045
49715.289676,-5.712,0.068
49717.445613,-5.771,0.027
49723.320567,-5.73,0.044
49728.250231,-5.759,0.029
49729.490718,-5.761,0.029
49730.346065,-5.743,0.04
49730.364641,-5.806,0.031
