Time,Mag,Error
50834.474826,-5.808,0.029
50839.338461,-5.826,0.026
50841.440556,-5.812,0.026
50844.468530,-5.755,0.022
50849.236493,-5.743,0.067
50859.238924,-5.81,0.032
50861.400613,-5.833,0.034
50865.290428,-5.847,0.028
50867.364630,-5.806,0.039
50869.412083,-5.84,0.041
50874.477234,-5.875,0.058
50878.426620,-6.034,0.146
50881.288993,-5.799,0.04
50883.416007,-5.796,0.07
50907.338322,-5.839,0.048
50910.320023,-5.792,0.038
50919.371863,-5.813,0.037
50933.315660,-5.865,0.036
50942.311898,-5.791,0.086
50954.309803,-5.847,0.061
50968.242106,-5.865,0.043
50978.200914,-5.83,0.099
50982.651412,-5.836,0.074
50996.221817,-5.876,0.039
51004.550301,-5.872,0.084
51016.598877,-5.838,0.03
51028.434525,-5.896,0.179
51033.634873,-5.83,0.051
51048.533947,-5.767,0.023
51051.636586,-5.845,0.029
51056.420197,-5.807,0.068
51061.485012,-5.809,0.092
51072.439965,-5.835,0.043
51073.612118,-5.87,0.041
51082.599132,-5.799,0.027
51085.366435,-5.938,0.072
51086.593391,-5.852,0.1
51089.488877,-5.623,0.182
51097.494676,-5.873,0.03
51099.586574,-5.796,0.076
51102.382546,-5.893,0.045
51106.476505,-5.889,0.051
51109.476794,-5.817,0.026
51111.487025,-5.846,0.041
51114.267396,-5.971,0.102
51119.360926,-5.77,0.04
51127.242373,-5.825,0.045
51132.491597,-5.815,0.026
51138.528831,-5.777,0.072
51142.508808,-5.783,0.048
51147.510590,-5.785,0.029
51157.389201,-5.788,0.039
51167.515394,-5.908,0.082
51171.467951,-5.801,0.028
51176.451667,-5.783,0.029
51180.527824,-5.767,0.041
51183.479097,-5.812,0.037
51188.500822,-5.847,0.214
51195.286701,-5.724,0.027
51206.487940,-5.81,0.03
51221.308484,-5.758,0.021
51225.312211,-5.755,0.028
51228.370938,-5.772,0.033
51240.377350,-5.709,0.049
51246.354757,-5.733,0.034
51249.332951,-5.739,0.027
51251.291030,-5.766,0.041
51260.347778,-5.754,0.036
51275.342558,-5.738,0.046
51279.217326,-5.736,0.023
51285.325000,-5.733,0.042
51286.330058,-5.776,0.039
51289.243391,-5.77,0.078
51292.255382,-5.747,0.036
51299.273993,-5.654,0.05
51302.247650,-5.716,0.032
51308.232870,-5.691,0.033
51313.199456,-5.576,0.085
51317.244051,-5.739,0.033
51326.209167,-5.726,0.037
51336.268125,-5.755,0.073
51348.227708,-5.694,0.069
51362.616562,-5.644,0.055
51381.656065,-5.496,0.089
51389.607199,-5.473,0.125
51393.561921,-5.67,0.064
51401.540926,-5.492,0.079
51405.652720,-5.714,0.043
51408.611007,-5.745,0.048
51411.597269,-5.714,0.059
51414.535845,-5.747,0.04
51421.466817,-5.609,0.041
51424.482778,-5.731,0.04
51431.462697,-5.647,0.083
51433.588773,-5.778,0.035
51435.559676,-5.719,0.034
51440.438461,-5.733,0.042
51443.550475,-5.683,0.052
51450.412650,-5.667,0.081
51462.369699,-5.735,0.055
51463.541539,-5.766,0.05
51468.487303,-5.759,0.048
51471.397477,-5.735,0.036
51472.532894,-5.678,0.06
51478.380880,-5.738,0.051
51479.522662,-5.804,0.041
51484.268079,-5.705,0.048
51488.470694,-5.739,0.029
51491.501076,-5.73,0.056
51494.332141,-5.584,0.021
51501.463808,-5.77,0.051
51507.362477,-5.674,0.092
51510.514977,-5.784,0.032
51513.394664,-5.742,0.031
51515.325185,-5.742,0.073
51526.422535,-5.769,0.024
51531.472037,-5.772,0.087
51541.471088,-4.212,3.108
51546.391493,-6.022,0.11
